,text,name,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,index
0,"Panchvati Fabric Store,
Shivam Garments,
Shree Ganesham Textiles,
Raghukul Textiles,
Geetanjali Fashion Studio,
New Fashion Center,
Poonam Sarees,
Kajal Sarees,
Tulsi Fashion,
Ankit Garments","['Panchvati Fabric Store', 'Shivam Garments', 'Shree Ganesham Textiles', 'Raghukul Textiles', 'Geetanjali Fashion Studio', 'New Fashion Center', 'Poonam Sarees', 'Kajal Sarees', 'Tulsi Fashion', 'Ankit Garments']",,,,,
1,"Vesu is a trendy and upscale area in Surat that is home to several boutiques offering a wide range of fashionable clothing and accessories. Some of the most popular boutiques in Vesu include Aura Designer Boutique, which specializes in ethnic wear and features handcrafted designs and intricate embroidery work. Another popular boutique is En Vogue, which offers a mix of traditional and contemporary styles for women of all ages. ","['Aura Designer Boutique', 'En Vogue']",,,,,
2,"For those looking for Western-style clothing, there is the trendy boutique called Blush, which offers a range of chic and stylish clothing options. Other popular boutiques in Vesu include Zohra Fashion, Aanchal Boutique, Fabindia, Diva, Aaina, Nivetas Design Studio, and G3+ Fashion. With so many options to choose from, Vesu is a must-visit destination for fashion lovers looking for the latest trends and styles. ","['Blush', 'Zohra Fashion', 'Aanchal Boutique', 'Fabindia', 'Diva', 'Aaina', 'Nivetas Design Studio', 'G3+ Fashion']",,,,,
3,"Ghod Dod Road is a bustling shopping destination in Surat that is known for its luxurious and trendy boutiques. Some of the most popular boutiques in this area include Kalki Fashion, which offers a stunning collection of traditional Indian wear including sarees, lehengas, and salwar suits. Another popular boutique in the area is Saree Palace, which is known for its exquisite collection of designer sarees and accessories.","['Ghod Dod Road', 'Kalki Fashion', 'Saree Palace']",,,,,
4,"For those looking for contemporary Western wear, there is the stylish boutique called The Dressing Room, which offers a range of chic clothing options. Other popular boutiques in Ghod Dod Road include Seasons, Jinal Fashion, Diva Fashion Studio, Oyster, Shakuntal Fashion, Malhar Fashion, and Kimora. With a range of high-end and affordable boutiques to choose from, Ghod Dod Road is a must-visit destination for fashion enthusiasts.","['The Dressing Room', 'Seasons', 'Jinal Fashion', 'Diva Fashion Studio', 'Oyster', 'Shakuntal Fashion', 'Malhar Fashion', 'Kimora']",,,,,
5,"Ghod Dod Road is not just a shopping destination but also a hub for food lovers. The road is lined with several food stalls and restaurants that offer a variety of mouth-watering dishes. One of the most popular food stalls in the area is Kailash Parbat, which is known for its delicious chaat, pav bhaji, and other street food delicacies. Another popular food stall is Maruti Vada Pav, which serves hot and crispy vada pavs that are a favorite among locals.  ","['Ghod Dod Road', 'Kailash Parbat', 'Maruti Vada Pav']",,,,,
6,"For those looking for South Indian food, there is Sankalp Restaurant, which offers a range of dosas, idlis, and uttapams. Other popular food stalls in Ghod Dod Road include Jashuben's Pizza, Alibhai's Khausa, Jagdish Farshan, Shree Ambica Dalvada, Barbeque Nation, and Shree Muthiya. With so many options to choose from, Ghod Dod Road is a must-visit destination for foodies.","['Sankalp Restaurant', ""Jashuben's Pizza"", ""Alibhai's Khausa"", 'Jagdish Farshan', 'Shree Ambica Dalvada', 'Barbeque Nation', 'Shree Muthiya']",,,,,
7,"Sarojini Nagar is one of the most popular shopping destinations in Delhi, and it is also a foodie's paradise. The market is home to several food stalls that offer a range of mouth-watering dishes. One of the most popular food stalls in the area is Momo Mia, which serves a range of momos in both vegetarian and non-vegetarian options. Another popular food stall is Chaat Corner, which offers a range of chaat items including gol gappe, aloo tikki, and papdi chaat.","['Momo Mia', 'Chaat Corner']",,,,,
8,"For those looking for street food, there is the famous Raju Chaat Bhandar that serves delicious chole bhature and other North Indian street food delicacies. Other popular food stalls in Sarojini Nagar include Keventers, Bille Di Hatti, Laxmi Nagar ke Golgappe, Sardarji’s Chole Bhature, and Brown Sugar. With so many options to choose from, Sarojini Nagar is a must-visit destination for food lovers.","['Raju Chaat Bhandar', 'Keventers', 'Bille Di Hatti', 'Laxmi Nagar ke Golgappe', 'Sardarji’s Chole Bhature', 'Brown Sugar']",,,,,
9, Sardarji’s Chole Bhature,['Sardarji’s Chole Bhature'],,,,,
10,Baba Nagpal Corner,['Baba Nagpal Corner'],,,,,
11,Sitaram Diwanchand,['Sitaram Diwanchand'],,,,,
12,Nand Di Hatti,['Nand Di Hatti'],,,,,
13,Giani's di Hatti,"[""Giani's di Hatti""]",,,,,
14,Ashok and Ashok Meat Dhaba,['Ashok and Ashok Meat Dhaba'],,,,,
15,Kuremal Mohan Lal Kulfi Wale,['Kuremal Mohan Lal Kulfi Wale'],,,,,
16,Shiv Mishthan Bhandar,['Shiv Mishthan Bhandar'],,,,,
17,Karim's,"[""Karim's""]",,,,,
18,Kallu Nihari,['Kallu Nihari'],,,,,
19,Gianis di Hatti,['Gianis di Hatti'],,,,,
20,Kuremal Mohan Lal Kulfi Wale,['Kuremal Mohan Lal Kulfi Wale'],,,,,
21,Roshan di Kulfi,['Roshan di Kulfi'],,,,,
22,Panditji di Hatti,['Panditji di Hatti'],,,,,
23,Kuremal Mohan Lal Kulfiwale,['Kuremal Mohan Lal Kulfiwale'],,,,,
24,Kuremal Mohan Lal Kulfi,['Kuremal Mohan Lal Kulfi'],,,,,
25,Ammi's Kulfi,"[""Ammi's Kulfi""]",,,,,
26,Ravi Raj di Kulfi,['Ravi Raj di Kulfi'],,,,,
27,"Roshan Di Kulfi Faluda

",['Roshan Di Kulfi Faluda'],,,,,
28,"Laxmi Chaat Bhandar,
Laxmi Mishthan Bhandar,
Laxmi Road Panipuri Centre,
Laxmi's Panipuri Corner,
Laxmi Sweets and Snacks,
Laxmi Narayan Chat Bhandar,
Laxmi Ice Cream and Chaat Centre,
Laxmi Chaat House,
Laxmi Panipuri Wala,
Laxmi's Chat Corner ","['Laxmi Chaat Bhandar', 'Laxmi Mishthan Bhandar', 'Laxmi Road Panipuri Centre', ""Laxmi's Panipuri Corner"", 'Laxmi Sweets and Snacks', 'Laxmi Narayan Chat Bhandar', 'Laxmi Ice Cream and Chaat Centre', 'Laxmi Chaat House', 'Laxmi Panipuri Wala', ""Laxmi's Chat Corner""]",,,,,
29,"Babu Ram Paranthe Wale - This food stall is famous for its crispy and delicious paranthas that are served with a variety of spicy chutneys.

Chawla Chicken - Chawla Chicken is a popular food chain that serves mouth-watering tandoori chicken, butter chicken, and other North Indian delicacies.","['Babu Ram Paranthe Wale', 'Chawla Chicken']",,,,,
30,"Amritsari Kulcha Hub - This food stall is known for its hot and crispy Amritsari kulchas that are served with chole and a variety of chutneys.

Janta Bakery - Janta Bakery is a popular bakery that offers a wide range of freshly baked cakes, pastries, and bread. ","['Amritsari Kulcha Hub', 'Janta Bakery']",,,,,
31,"Bittu Tikki Wala - Bittu Tikki Wala is a famous food stall that serves crispy and delicious aloo tikkis that are topped with a variety of chutneys and spices.

Gopal Sweets - Gopal Sweets is a popular sweet shop that offers a wide range of traditional Indian sweets, including rasgullas, gulab jamuns, and laddoos. ","['Bittu Tikki Wala', 'Gopal Sweets']",,,,,
32,"Punjab Sweets - Punjab Sweets is another famous sweet shop that is known for its delicious milk-based sweets like barfi, peda, and ras malai.

Pappu Fish Corner - Pappu Fish Corner is a popular food stall that serves fresh and juicy fish that is marinated in a variety of spices and then fried to perfection.","['Punjab Sweets', 'Pappu Fish Corner']",,,,,
33,"Bombay Chaat - Bombay Chaat is a famous food stall that serves a variety of spicy and tangy chaat dishes like pani puri, sev puri, and bhel puri.

Jai Hind Dhaba - Jai Hind Dhaba is a popular dhaba that serves authentic Punjabi food like sarson ka saag, makki ki roti, and rajma chawal. ","['Bombay Chaat', 'Jai Hind Dhaba']",,,,,
0,"The government of India has established various institutions and organizations throughout the country to serve the citizens. Some of the place names that begin with the word ""government"" include Government Museum and Art Gallery in Chandigarh, Government Botanical Garden in Ooty, Government Museum in Chennai ","['Government Museum and Art Gallery', 'Government Botanical Garden', 'Government Museum']",0.0,,,,
1," Shivalik Fossil Park Museum In Sirmour- Himachal Pradesh
Indian Museum In Kolkata- West Bengal
Sulabh International Museum Of Toilet- Delhi
Rail Museum- Delhi
International Doll Museum- Delhi
Archeological Museum In Lothal- Ahmedabad
Kite Museum In Paldi- Ahmedabad
Calico Museum Of Textiles- Ahmedabad
Antarang Museum Of Sexual Health Information In Mumbai- Maharashtra
Island Museum In Nagarjunakonda- Andhra Pradesh
Naval Aviation Museum In Vasco Da Gama- Goa
Jawahar Toy Museum- Pondicherry
Baywatch Wax Museum- Kanyakumari
National Museum- Delhi
Government Museum In Chennai- Tamil Nadu
Sudha Cars Museum in Hyderabad- Hyderabad
Black Magic and Witchcraft Museum in Assam- Assam
Human Brain Museum in Bangalore- Bangalore
Salar Jung Museum in Hyderabad- Hyderabad
Government Museum and Art Gallery in Chandigarh- Chandigarh
Patna Museum- Patna
Library of Tibetan Works & Archives in Dharamshala- Himachal Pradesh
","['Shivalik Fossil Park Museum', 'Indian Museum', 'Sulabh International Museum Of Toilet', 'Rail Museum', 'International Doll Museum', 'Archeological Museum In Lothal', 'Kite Museum In Paldi', 'Calico Museum Of Textiles', 'Antarang Museum Of Sexual Health Information', 'Island Museum In Nagarjunakonda', 'Naval Aviation Museum', 'Jawahar Toy Museum', 'Baywatch Wax Museum', 'National Museum', 'Government Museum', 'Sudha Cars Museum', 'Black Magic and Witchcraft Museum', 'Human Brain Museum', 'Salar Jung Museum', 'Government Museum and Art Gallery', 'Patna Museum', 'Library of Tibetan Works & Archives']",1.0,,,,
2," Government Museum In Chennai- Tamil Nadu
Government Museum and Art Gallery in Chandigarh- Chandigarh
","['Government Museum In Chennai', 'Government Museum and Art Gallery in Chandigarh']",2.0,,,,
3,Shivalik Fossil Park Museum,['Shivalik Fossil Park Museum'],3.0,,,,
4,Kolkata,['Kolkata'],4.0,,,,
5,Sulabh International Museum Of Toilet,['Sulabh International Museum Of Toilet'],5.0,,,,
6,Rail Museum,['Rail Museum'],6.0,,,,
7,International Doll Museum,['International Doll Museum'],7.0,,,,
8,Archeological Museum In Lothal,['Archeological Museum In Lothal'],8.0,,,,
9,Kite Museum In Paldi,['Kite Museum In Paldi'],9.0,,,,
10,Calico Museum Of Textiles,['Calico Museum Of Textiles'],10.0,,,,
11,Antarang Museum Of Sexual Health Information,['Antarang Museum Of Sexual Health Information'],11.0,,,,
12,Island Museum In Nagarjunakonda,['Island Museum In Nagarjunakonda'],12.0,,,,
13,Naval Aviation Museum,['Naval Aviation Museum'],13.0,,,,
14,Jawahar Toy Museum,['Jawahar Toy Museum'],14.0,,,,
15,Baywatch Wax Museum,['Baywatch Wax Museum'],15.0,,,,
16,National Museum,['National Museum'],16.0,,,,
17,Government Museum,['Government Museum'],17.0,,,,
18,Sudha Cars Museum,['Sudha Cars Museum'],18.0,,,,
19,Black Magic and Witchcraft Museum,['Black Magic and Witchcraft Museum'],19.0,,,,
20,Human Brain Museum,['Human Brain Museum'],20.0,,,,
21,Salar Jung Museum,['Salar Jung Museum'],21.0,,,,
22,Patna Museum,['Patna Museum'],22.0,,,,
23,"Library of Tibetan Works & Archives
",['Library of Tibetan Works & Archives'],23.0,,,,
24,Moti Mahal Delux,['Moti Mahal Delux'],24.0,,,,
25,"
Pind Balluchi",['Pind Balluchi'],25.0,,,,
26,"
Sethi Dhaba",['Sethi Dhaba'],26.0,,,,
27,"
Baba Chicken",['Baba Chicken'],27.0,,,,
28,"
Haveli",['Haveli'],28.0,,,,
29,"
Dara's Dhaba","[""Dara's Dhaba""]",29.0,,,,
30,"
Bhaiya Dosa",['Bhaiya Dosa'],30.0,,,,
31,"
Nathu's","[""Nathu's""]",31.0,,,,
32,"
New Friends Dhaba",['New Friends Dhaba'],32.0,,,,
33,"
Pappi Di Hatti",['Pappi Di Hatti'],33.0,,,,
34,"
Kesar da Dhaba",['Kesar da Dhaba'],34.0,,,,
35,"
Bawa Chicken",['Bawa Chicken'],35.0,,,,
36,"
Pahalwan Dhaba",['Pahalwan Dhaba'],36.0,,,,
37,"
Surjit Food Plaza",['Surjit Food Plaza'],37.0,,,,
38,"
Wah Ji Wah",['Wah Ji Wah'],38.0,,,,
39,"
Brothers Dhaba",['Brothers Dhaba'],39.0,,,,
40,"
Delhi Wale",['Delhi Wale'],40.0,,,,
41,"
The Frontier",['The Frontier'],41.0,,,,
42,"
O'Zara","[""O'Zara""]",42.0,,,,
43,"
Grill Inn",['Grill Inn'],43.0,,,,
44,Bhai Kulwant Singh Kulchian Wale,['Bhai Kulwant Singh Kulchian Wale'],44.0,,,,
45,"
Bistro 226",['Bistro 226'],45.0,,,,
46,"
Dhaba at Highway",['Dhaba at Highway'],46.0,,,,
47,"
Friends Dhaba",['Friends Dhaba'],47.0,,,,
48,"
Grewal Dhaba",['Grewal Dhaba'],48.0,,,,
49,"
Haveli",['Haveli'],49.0,,,,
50,"
Kipps Desi Kitchen",['Kipps Desi Kitchen'],50.0,,,,
51,"
Lucky Dhaba",['Lucky Dhaba'],51.0,,,,
52,"
Makhan Fish and Chicken Corner",['Makhan Fish and Chicken Corner'],52.0,,,,
53,"
Malhotra Dhaba",['Malhotra Dhaba'],53.0,,,,
54,"
Mannat Punjabi Dhaba",['Mannat Punjabi Dhaba'],54.0,,,,
55,"
Baba Chicken",['Baba Chicken'],55.0,,,,
56,"
Chawla Chicken",['Chawla Chicken'],56.0,,,,
57,"
Pappi Di Hatti",['Pappi Di Hatti'],57.0,,,,
58,"
Kesar Da Dhaba",['Kesar Da Dhaba'],58.0,,,,
59,"
Pandit Ji Cholle Bhature",['Pandit Ji Cholle Bhature'],59.0,,,,
60,"
Pind Balluchi",['Pind Balluchi'],60.0,,,,
61,"
Ravi Dosa",['Ravi Dosa'],61.0,,,,
62,"
Rajpura Kulfi",['Rajpura Kulfi'],62.0,,,,
63,"
Bansi Kulfi",['Bansi Kulfi'],63.0,,,,
64,Britannia and Co.,['Britannia and Co.'],64.0,,,,
65,"
Badshah",['Badshah'],65.0,,,,
66,"
Shree Krishna Batatawada",['Shree Krishna Batatawada'],66.0,,,,
67,"
Cafe Madras",['Cafe Madras'],67.0,,,,
68,"
Hotel Deluxe",['Hotel Deluxe'],68.0,,,,
69,"
Pancham Puriwala",['Pancham Puriwala'],69.0,,,,
70,"
Vinay Health Home",['Vinay Health Home'],70.0,,,,
71,"
Aaswad",['Aaswad'],71.0,,,,
72,"
Gajalee",['Gajalee'],72.0,,,,
73,"
Hotel Ramashray",['Hotel Ramashray'],73.0,,,,
74,"
Hotel Sadanand",['Hotel Sadanand'],74.0,,,,
75,"
Hotel Shiv Sagar",['Hotel Shiv Sagar'],75.0,,,,
76,"
Kareem's","[""Kareem's""]",76.0,,,,
77,"
Kyani & Co.",['Kyani & Co.'],77.0,,,,
78,"
Mahesh Lunch Home",['Mahesh Lunch Home'],78.0,,,,
79,"
Swati Snacks",['Swati Snacks'],79.0,,,,
80,"
Trishna",['Trishna'],80.0,,,,
81,"
Jai Hind Lunch Home",['Jai Hind Lunch Home'],81.0,,,,
82,"
Vishwa Kitchen",['Vishwa Kitchen'],82.0,,,,
83,"
Hotel Janaseva",['Hotel Janaseva'],83.0,,,,
84,Gateway of India,['Gateway of India'],84.0,,,,
85,"
Marine Drive",['Marine Drive'],85.0,,,,
86,"
Elephanta Caves",['Elephanta Caves'],86.0,,,,
87,"
Chhatrapati Shivaji Terminus",['Chhatrapati Shivaji Terminus'],87.0,,,,
88,"
Haji Ali Dargah",['Haji Ali Dargah'],88.0,,,,
89,"
Siddhivinayak Temple",['Siddhivinayak Temple'],89.0,,,,
90,"
Bandra-Worli Sea Link",['Bandra-Worli Sea Link'],90.0,,,,
91,"
Juhu Beach",['Juhu Beach'],91.0,,,,
92,"
Colaba Causeway",['Colaba Causeway'],92.0,,,,
93,"
Kanheri Caves",['Kanheri Caves'],93.0,,,,
94,"
Sanjay Gandhi National Park",['Sanjay Gandhi National Park'],94.0,,,,
95,"
Nehru Science Centre",['Nehru Science Centre'],95.0,,,,
96,"
Taraporewala Aquarium",['Taraporewala Aquarium'],96.0,,,,
97,"
Crawford Market",['Crawford Market'],97.0,,,,
98,"
High Street Phoenix",['High Street Phoenix'],98.0,,,,
99,"
Chor Bazaar",['Chor Bazaar'],99.0,,,,
100,"
Mount Mary Church",['Mount Mary Church'],100.0,,,,
101,"
Banganga Tank",['Banganga Tank'],101.0,,,,
102,"
Global Vipassana Pagoda",['Global Vipassana Pagoda'],102.0,,,,
103,"
Elephanta Festival",['Elephanta Festival'],103.0,,,,
104,Vivekananda Rock Memorial,['Vivekananda Rock Memorial'],104.0,,,,
105,"
Kanyakumari Beach",['Kanyakumari Beach'],105.0,,,,
106,"
Thiruvalluvar Statue",['Thiruvalluvar Statue'],106.0,,,,
