,Tags,Category
0,Monestry,site-seeing
1,Cruise,entertainment
2,Museum,site-seeing
3,Craft,shopping
4,Mall,shopping
5,Saree,shopping
6,Lounge,entertainment
7,Bhojpuri,entertainment
8,Sauna,self-care
9,Grocery,shopping
10,Sushi,food
11,African,food
12,Snowboarding,entertainment
13,Bar,clubs & bar
14,Indian,food
15,Island,site-seeing
16,Bistro,food
17,Resort,site-seeing
18,Peak,site-seeing
19,Thrift Store,shopping
20,Electronics,shopping
21,Sailing,entertainment
22,Airport,site-seeing
23,Bhaji Pav,food
24,Tanning Salon,self-care
25,Tea Shop,cafe
26,Dam,site-seeing
27,Street Food,food
28,Landmark,site-seeing
29,Auto Parts,shopping
30,Shopping Street,shopping
31,Appliance,shopping
32,Convenience,shopping
33,Cocktail Bar,clubs & bar
34,Lassi,food
35,Acupuncture,self-care
36,Specialty Food,food
37,Paratha,food
38,Sanctuary,site-seeing
39,Spa,self-care
40,North Indian,food
41,Garden Center,shopping
42,Pedestrian Street,shopping
43,Kebab,food
44,Kathiyawadi,food
45,Taco,food
46,Oyster,food
47,Oyster Bar,food
48,Sushi Bar,food
49,Cafe,cafe
50,Ethiopian,food
51,Indonesian,food
52,Peruvian,food
53,Hill,site-seeing
54,Archery Range,entertainment
55,Gourmet Food,food
56,Masala Dosa,food
57,Deli,food
58,Outlet,shopping
59,Zoo,site-seeing
60,Computer,shopping
61,Egyptian,food
62,Idli,food
63,Cake,dessert
64,Stargazing Spot,site-seeing
65,Salt Cave,self-care
66,Mindfulness,self-care
67,Masjid,site-seeing
68,English Pub,clubs & bar
69,Statue,site-seeing
70,Mangalorean,food
71,Kadai Paneer,food
72,Locho,food
73,Dessert,dessert
74,Greek,food
75,Pho Noodle,food
76,South Indian,food
77,Ayurvedic,self-care
78,Library,site-seeing
79,Restaurant,food
80,University,site-seeing
81,Flea Market,shopping
82,Chole Bhature,food
83,Garden,site-seeing
84,Infrared Sauna,self-care
85,Buddhist,site-seeing
86,Boutique,shopping
87,Manipuri,food
88,Rasmalai,dessert
89,Amusement Park,entertainment
90,Swedish,food
91,Ski Resort,entertainment
92,Home Decor,shopping
93,Jalebi,dessert
94,Pesarattu,food
95,Roti,food
96,Department Store,shopping
97,Wine Tasting,entertainment
98,Restro,food
99,Retreat Center,site-seeing
100,Thali,food
101,Vegan,food
102,Cakery,dessert
103,Chocolatier,dessert
104,Bakery,dessert
105,Dutch,food
106,Paneer Tikka,food
107,Veg,food
108,Juice,food
109,Bengali,food
110,Vav,site-seeing
111,Historical Site,site-seeing
112,River,site-seeing
113,Naan,food
114,Tandoori,food
115,Gurudwara,site-seeing
116,Pani Puri,food
117,Paragliding,entertainment
118,Valley,site-seeing
119,German,food
120,Ice Cream,dessert
121,Pilates,self-care
122,Donuts,dessert
123,Mount,site-seeing
124,Hair Salon,self-care
125,Vineyard,site-seeing
126,Fashion,shopping
127,Goan,food
128,Biryani,food
129,Beaches,site-seeing
130,Kachori,food
131,City Tour,site-seeing
132,Garhwali,food
133,Jodhpuri,food
134,Cheese,food
135,Archaeological Park,site-seeing
136,Day Spa,self-care
137,Jewelry,shopping
138,Drive-In,entertainment
139,Helicopter Tour,entertainment
140,Surfing,entertainment
141,Gallery,site-seeing
142,Market,shopping
143,Italian,food
144,Baker,dessert
145,Beach Shack,food
146,Maharashtrian,food
147,Lighthouse,site-seeing
148,Wildlife,site-seeing
149,Spanish,food
150,Dhaba,food
151,Vietnamese,food
152,Anglo-Indian,food
153,Cave,site-seeing
154,Mizo,food
155,French,food
156,Physical Therapy,self-care
157,Pub,clubs & bar
158,Super Market,shopping
159,Sandwich,food
160,Steam Room,self-care
161,Taproom,entertainment
162,Pastry,dessert
163,Playground,entertainment
164,Video Game,entertainment
165,Fort,site-seeing
166,Toy Store,shopping
167,Fine Dining,food
168,Couture,shopping
169,Malai Kofta,food
170,Opera House,entertainment
171,Food Court,food
172,Hot Springs,site-seeing
173,Food Market,food
174,Noodle,food
175,Photography,entertainment
176,Sports,entertainmnet
177,Holistic Center,self-care
178,Family,entertainment
179,Safari,site-seeing
180,Historical Tour,site-seeing
181,Rasgulla,dessert
182,Clinic,self-care
183,Heritage,site-seeing
184,Organic,food
185,Brewery,clubs & bar
186,Live Music,entertainment
187,Steakhouse,food
188,Russian,food
189,Mosque,site-seeing
190,Falls,site-seeing
191,Football Field,entertainment
192,Silk Emporium,shopping
193,Sweets,dessert
194,Coastal,site-seeing
195,Korma,food
196,Equestrian,entertainment
197,Thai,food
198,Butcher Shop,shopping
199,Thai massage,self-care
200,Rajasthani,food
201,Argentinian,food
202,Coffee,food
203,Golf Course,sports
204,Upma,food
205,Moroccan,food
206,Chinese,food
207,Awadhi,food
208,Stationery,shopping
209,Karaoke Bar,entertainment
210,Fried Chicken,food
211,Khichdi,food
212,Art Gallery,site-seeing
213,Afghan,food
214,Cold Drinks,food
215,Rock Climbing,entertainment
216,Supplement,shopping
217,Waffle,dessert
218,Pharmacy,self-care
219,Hot Air Balloon,entertainment
220,Mexican,food
221,Pakora,food
222,Bhelpuri,food
223,Paratha Shop,food
224,Bridge,site-seeing
225,Mutton Biryani,food
226,Poha,food
227,Seafood,food
228,Archaeological Site,site-seeing
229,Waterfalls,site-seeing
230,Halotherapy Center,self-care
231,Sports Bar,clubs & bar
232,BBQ,food
233,Art Supply,shopping
234,Club,entertainment
235,Reflexology,self-care
236,Tour,site-seeing
237,Piano Bar,clubs & bar
238,Chaat,food
239,Mughlai,food
240,Barber,self-care
241,Fish,food
242,Memorial,site-seeing
