,index,Unnamed: 0,text,tags
0,0,0.0,"VR Surat is a premium shopping mall that offers a wide range of retail,
 dining, and entertainment options. Visitors can shop for luxury brands, enjoy delicious food, and experience virtual reality gaming.
 Its speciality lies in being the largest mall in the city.","['Mall', 'Shopping & Entertainment', 'Virtual Reality']"
1,1,1.0,"""Dumas Beach is a picturesque sandy beach on the Arabian Sea, located in Surat.
 It's a popular destination for tourists and locals alike, offering stunning views,
  refreshing sea breeze, and various activities like horse riding, parasailing, and more."" ","['Beach', 'Tourism & Adventure', 'Scenic Views']"
2,2,2.0,"Ambika Niketan Temple is a famous Hindu temple located in Surat.
 It is dedicated to the goddess Ambika, and attracts numerous devotees seeking her blessings.
  The temple's architecture is breathtaking and includes a beautiful garden and a fountain. 
Its specialty lies in being a serene and peaceful place for meditation and prayer. ","['Temple', 'Spirituality & Devotion', 'Serene Ambience']"
3,3,3.0,"Surat Castle, also known as the Old Fort of Surat, is a historic fort located in the heart of Surat city. The fort was built during the 16th century by the Gujarat Sultanate and played a significant role in protecting the city from invasions. Today, it stands as a symbol of the city's rich history and culture, and is a popular tourist attraction. ","['Fort', 'Historic Site', 'Tourism']"
4,4,4.0,Chintamani Jain Temple in Surat is a peaceful place for worship and meditation. It provides religious services and hosts cultural events. Speciality: Elaborate carvings and intricate architecture. ,"['Temple', 'Religious Services', 'Intricate Architecture']"
5,5,5.0,"Gopi Talav is a serene lake located in the heart of Surat city. It is surrounded by lush greenery and offers a peaceful retreat from the bustling city life. The lake has a beautiful temple located in the middle, dedicated to Lord Krishna and Radha. It's a popular spot for picnics and evening walks, and also offers boating facilities.","['Lake', 'Temple', 'Picnic Spot']"
6,6,6.0,"Jagdishchandra Bose Aquarium is a popular aquarium located in Surat. It is named after the famous Indian scientist, Jagdish Chandra Bose, and houses a vast collection of marine and freshwater species. The aquarium provides an educational and entertaining experience for visitors of all ages, with interactive exhibits and activities. Its specialty lies in being the largest aquarium in Gujarat ","['Aquarium', 'Education & Entertainment', 'Marine Life']"
7,7,7.0,Science Centre in Surat is an interactive and educational place for all ages. It provides exhibits and workshops on science and technology. Speciality: 3D science shows and planetarium.,"['Science Centre', 'Science Education', '3D Science Shows']"
8,8,8.0,"Sneh Rashmi Botanical Garden is a beautiful garden located in Surat, known for its diverse collection of plants and flowers. The garden provides a peaceful escape from the busy city life, and offers visitors the chance to explore different ecosystems and learn about horticulture. Its specialty lies in being a conservation center for rare and endangered plant species.","['Botanical Garden', 'Conservation', 'Nature']"
9,9,9.0,Sarthana Nature Park and Zoo in Surat is a beautiful natural reserve with a wide variety of flora and fauna. It provides educational information and fun activities for visitors of all ages. Speciality: Mini train rides and butterfly park.,"['Nature Park', 'Education and Recreation', 'Mini Train Rides']"
10,10,10.0,"Dutch Garden is a well-maintained garden located in the heart of Surat city. The garden is a popular tourist spot and is known for its historical significance, as it was built during the Dutch colonial era. It offers a serene atmosphere and beautiful architecture, with a variety of flora and fauna. Its specialty lies in being a popular picnic spot for families and friends","['Garden', 'Historical', 'Picnic Spot']"
11,11,11.0,"ISKCON Temple in Surat is a spiritual haven for devotees of Lord Krishna. It provides religious services, spiritual classes, and cultural events. It has Beautiful deity darshans and delicious prasadam","['Temple', 'Religious Services', 'spiritual classes']"
12,12,12.0,"Sardar Patel National Memorial in Surat is a tribute to the Iron Man of India - Sardar Vallabhbhai Patel. 
It provides historical information, exhibits, and a library. Speciality: Rare photographs and personal belongings of Sardar Patel.","['National Memorial', 'Historical Information', 'Rare Photographs']"
13,13,13.0,"Sardar Patel Museum is a museum located in Surat, dedicated to the life and achievements of Sardar Vallabhbhai Patel, 
one of the founding fathers of modern India. The museum showcases a vast collection of artifacts and memorabilia related to Patel's 
life, including photographs, documents, and personal belongings. It provides an educational and inspiring experience for visitors of 
all ages. Its specialty lies in being the only museum in Gujarat dedicated to Sardar Patel. ","['Museum', 'History', 'Education']"
14,14,14.0,Suryapur Gate in Surat is a historical landmark that stands as a testament to the city's rich cultural heritage. It provides an insight into the city's past and the influence of Mughal architecture. It's speciality is The intricate carvings and design of the gate.,"['Historical Landmark', 'Cultural Heritage', 'Mughal Architecture']"
15,15,15.0,"Dandi Beach is a beautiful and serene beach located in the city of Surat. The beach has historical significance, as it was the site of the famous Salt Satyagraha led by Mahatma Gandhi in 1930. Visitors can enjoy the scenic beauty of the beach, take a dip in the sea, or simply relax and unwind. Its specialty lies in being a symbol of India's struggle for freedom","['Beach', 'History', 'Salt Satyagraha']"
16,16,16.0,Shri Swaminarayan Mandir in Surat is a beautiful temple dedicated to Lord Swaminarayan. It provides a serene atmosphere for prayer and meditation. Speciality: Exquisite architecture and intricate carvings ,"['Temple', 'Serene Atmosphere', 'Exquisite Architecture']"
17,17,17.0,"Tapi Riverfront is a picturesque promenade located along the banks of the Tapi river in Surat. The riverfront is a popular spot for locals and tourists alike to take a stroll, jog, cycle or simply relax and enjoy the serene view of the river. The riverfront has several gardens, fountains, and seating areas where people can spend time with their friends and family. Its specialty lies in being a perfect place to unwind and enjoy nature","['Riverfront', 'Nature', 'Relaxation']"
18,18,18.0,Hazira Port in Surat is a modern and well-equipped port that caters to the needs of various industries. It provides efficient handling of cargo and offers excellent connectivity to major cities. Speciality: State-of-the-art infrastructure and facilities,"['Port', 'Cargo Handling', 'State-of-the-art Infrastructure']"
19,19,19.0,"The Chowk is a bustling shopping district located in the heart of Surat.
 The area is known for its vibrant atmosphere, colorful street markets, and variety of shops selling textiles,
  jewelry, and handicrafts. Visitors can explore the narrow lanes, haggle with the shopkeepers and experience the local culture.
 Its specialty lies in being a shopper's paradise offering a wide range of products","['Shopping district', 'textiles and jewelry', 'handicrafs']"
20,20,20.0,"Gaurav Path in Surat is a vibrant and bustling shopping district that offers
 a wide range of options for shoppers. It provides a unique blend of traditional and modern shopping 
 experiences with street vendors and shopping malls. It is Famous for textiles and ethnic wear.","['Shopping District', 'Traditional and Modern', 'Textiles and Ethnic Wear']"
21,21,21.0,"Rang Upvan in Surat is a beautiful botanical garden and park that offers a peaceful escape 
from the city's hustle and bustle. It provides a wide variety of flora, fauna, and recreational activities.
 It also has Musical fountain shows and bird watching.","['Botanical Garden', 'Recreational Activities', 'Musical Fountain Shows']"
22,22,22.0,"Tithal Beach is a beautiful and serene beach located near Valsad, about 80 km from Surat. The beach is known for its black sand and clear waters. Visitors can enjoy a leisurely walk on the beach, take a dip in the sea, or just relax and soak in the sun. There are also a few local food stalls offering delicious seafood. Its specialty lies in being a peaceful and less crowded beach destination.","['Beach', 'Relaxation', 'Seafood']"
23,23,23.0,"Vansda National Park in Surat is a natural sanctuary that offers a glimpse of the region's diverse flora and fauna.
 It provides opportunities for wildlife safaris and nature walks.
 It is Home to rare and endangered species like the leopard cat and rusty spotted cat.","['National Park', 'Wildlife Safaris', 'Rare and Endangered Species']"
24,24,24.0,"Shantinath Digambar Jain Temple is a magnificent temple located in the heart of Surat. The temple is dedicated to Lord Shantinath, a revered Jain Tirthankara, and is known for its stunning architecture and intricate carvings. Visitors can offer prayers, admire the beautiful idols and decorations, and learn about Jainism. Its specialty lies in being an important religious and cultural landmark in Surat.","['Temple', 'Jainism', 'Architecture']"
25,25,25.0,"Science Centre Planetarium in Surat is an exciting destination for science enthusiasts. It provides interactive exhibits, educational programs, and a planetarium. Speciality: The planetarium offers a virtual tour of the night sky and live shows on various astronomy topics.","['Science Centre', 'Interactive Exhibits', 'Planetarium and Astronomy Shows']"
