,Tags
0,Monestry
1,Cruise
2,Museum
3,Craft 
4,Mall
5,Saree
6,Lounge
7,Bhojpuri
8,Sauna
9,Grocery
10,Sushi
11,African
12,Snowboarding
13,Bar
14,Indian
15,Island
16,Bistro
17,Resort
18,Peak
19,Thrift Store
20,Electronics
21,Sailing
22,Airport
23,Bhaji Pav
24,Tanning Salon
25,Tea Shop
26,Dam
27,Street Food
28,Landmark
29,Auto Parts 
30,Shopping Street
31,Appliance
32,Convenience
33,Cocktail Bar
34,Lassi
35,Acupuncture
36,Specialty Food
37,Paratha
38,Sanctuary
39,Spa
40,North Indian
41,Garden Center
42,Pedestrian Street
43,Kebab House
44,Kathiyawadi
45,Taco Stand
46,Oyster Bar
47,Distillery
48,Cafe
49,Ethiopian
50,Indonesian
51,Peruvian
52,Hill
53,Archery Range
54,Gourmet Food
55,Masala Dosa
56,Deli
57,Outlet
58,Zoo
59,Computer
60,Egyptian
61,Idli House
62,Cake Shop
63,Stargazing Spot
64,Salt Cave
65,Mindfulness 
66,Masjid
67,English Pub
68,Statue
69,Mangalorean
70,Kadai Paneer
71,Locho
72,Dessert
73,Lassi
74,Greek 
75,Pho Noodle
76,South Indian
77,Ayurvedic 
78,Library
79,Restaurant
80,University
81,Flea Market
82,Kebab
83,Chole Bhature 
84,Garden
85,Infrared Sauna
86,Buddihist
87,Boutique
88,Manipuri
89,Rasmalai
90,Amusement Park
91,Swedish
92,Ski Resort
93,Kerala
94,Home Decor
95,Jalebi
96,Pesarattu
97,Roti
98,Department Store
99,Wine Tasting 
100,Restro
101,Retreat Center
102,Greek
103,Thali 
104,Boutique
105,Vegan
106,Cakery
107,cruise
108,Chocolatier
109,Shopping
110,Bakery
111,Dutch
112,Paneer Tikka 
113,Veg
114,Juice
115,Bengali
116,Vav
117,Historical Site
118,River
119,Naan
120,Tandoori
121,Gurudwara
122,Resort 
123,Pani Puri 
124,Paragliding
125,Valley
126,German
127,Ice Cream
128,Spa
129,Pilates 
130,Donuts
131,Mount
132,Hair Salon
133,Vineyard
134,Fashion
135,Goan
136,Biryani
137,Beaches
138,Kachori
139,City Tour
140,Garhwali
141,Jodhpuri
142,Cheese
143,Archaeological Park
144,Day Spa
145,Jewelry 
146,Drive-In
147,Helicopter Tour
148,Surfing
149,Gallery
150,Market
151,Italian
152,Baker
153,Beach Shack
154,Maharashtrian
155,Lighthouse
156,Wildlife
157,Spanish
158,Dhaba
159,Vietnamese
160,Anglo-Indian
161,Cave
162,Mizo
163,French
164,Physical Therapy
165,Pub
166,Super Market
167,Sandwich 
168,Vietnamese
169,Steam Room
170,Taproom
171,Pastry 
172,Playground
173,Video Game
174,Fort
175,Toy Store
176,Fine Dining
177,Couture
178,Malai Kofta 
179,Opera House
180,Food Court
181,Hot Springs
182,Mall
183,Food Market
184,Conference 
185,Noodle
186,Photography 
187,Sports 
188,Holistic Center
189,Family 
190,Safari
191,Historical Tour
192,Rasgulla
193,Clinic
194,Heritage
195,Organic
196,Brewery
197,Live Music
198,Hill
199,Naan
200,Steakhouse
201,Russian
202,Mosque
203,Falls
204,Football Field
205,Silk Emporium
206,Cafe
207,Sweets
208,Coastal
209,Korma
210,Equestrian 
211,Collage
212,Thai
213,Butcher Shop
214,Rajasthani
215,Argentinian
216,Coffee
217,Golf Course
218,Upma
219,Moroccan
220,Irish
221,Chinese
222,Awadhi
223,Stationery
224,Karaoke Bar
225,Fried Chicken 
226,Italian 
227,Khichdi
228,Art Gallery
229,Afghan
230,Cold Drinks
231,Rock Climbing 
232,Supplement 
233,Waffle
234,Pharmacy
235,Hot Air Balloon
236,Mexican
237,Pakora Stall
238,Bhelpuri
239,Paratha Shop
240,Idli
241,Bridge
242,Mutton Biryani
243,Cave
244,Uttar Pradesh
245,Poha
246,Seafood 
247,Archaeological Site
248,Waterfalls
249,Halotherapy Center
250,Roti Wala
251,Sweets
252,Sports Bar
253,BBQ
254,Art Supply 
255,Thai 
256,Bar
257,Club
258,Reflexology
259,Tour
266,Piano Bar
267,Chaat
268,Mughlai
269,Heritage 
270,Barber
271,Fish 
272,Cycling
273,Memorial
274,Tibetan
275,Palak Paneer
276,Wellness 
277,Court
278,Badminton Court
279,Gymnasium
280,Street Food 
281,Spice Shop
282,Gelateria
283,Bird Watching
284,Maldivian
285,Cryotherapy Center
286,Plantations
287,Reserve
288,Beach
289,Irish
290,Buddha
291,Music
292,Theater
293,Diving
294,Dosa
295,Bicycle Path
296,Sikkim
297,Wine 
298,Australian
299,Beauty Salon
300,Andaman and Nicobar
301,Lucknowi
302,Scandinavian
303,Farmers' Market
304,Sunset Point
305,Bowling Alley
306,None
