,text,name,Unnamed: 0,index
0,"Rashtrapati Bhavan, Nehru Park, Qutub Minar Complex, Connaught Place, Hauz Khas Village, Lotus Temple, Humayun's Tomb, Lodi Gardens, India Gate, Red Fort, National Museum, Taj Mahal Palace Hotel, Crawford Market, Hanging Gardens, Marine Drive, Gateway of India, Chhatrapati Shivaji Terminus, Juhu Beach, Elephanta Caves, Siddhivinayak Temple, Chowpatty Beach, Prince of Wales Museum, Kamala Nehru Park, Shalimar Bagh, Mehrauli Archaeological Park, Sarojini Nagar Market, DLF Cyber Hub, Hauz Khas Social, Big Chill Cafe, Barbeque Nation, Trafalgar Chowk, Birla Mandir, Bangalore Palace, Cubbon Park, Brigade Road, Commercial Street, Lalbagh Botanical Garden, UB City Mall, Vidhana Soudha, MTR Restaurant, Hard Rock Cafe, Wonderla Amusement Park, Forum Mall, Jawaharlal Nehru Stadium, City Palace, Jagdish Temple. ","['Rashtrapati Bhavan', 'Nehru Park', 'Qutub Minar Complex', 'Connaught Place', 'Hauz Khas Village', 'Lotus Temple', ""Humayun's Tomb"", 'Lodi Gardens', 'India Gate', 'Red Fort', 'National Museum', 'Taj Mahal Palace Hotel', 'Crawford Market', 'Hanging Gardens', 'Marine Drive', 'Gateway of India', 'Chhatrapati Shivaji Terminus', 'Juhu Beach', 'Elephanta Caves', 'Siddhivinayak Temple', 'Chowpatty Beach', 'Prince of Wales Museum', 'Kamala Nehru Park', 'Shalimar Bagh', 'Mehrauli Archaeological Park', 'Sarojini Nagar Market', 'DLF Cyber Hub', 'Hauz Khas Social', 'Big Chill Cafe', 'Barbeque Nation', 'Trafalgar Chowk', 'Birla Mandir', 'Bangalore Palace', 'Cubbon Park', 'Brigade Road', 'Commercial Street', 'Lalbagh Botanical Garden', 'UB City Mall', 'Vidhana Soudha', 'MTR Restaurant', 'Hard Rock Cafe', 'Wonderla Amusement Park', 'Forum Mall', 'Jawaharlal Nehru Stadium', 'City Palace', 'Jagdish Temple']",,
1,"City Palace, Hawa Mahal, Jal Mahal, Rambagh Palace, Amer Fort, Umaid Bhawan Palace, City Park, Lodi Garden, Nehru Park, Shalimar Bagh, Charbagh Park, Buddha Garden, Lodhi Art District, Khan Market, Connaught Place, DLF Emporio, Sarojini Nagar Market, Chandni Chowk, Gole Market, Mehrauli Archaeological Park, Cyber Hub, National Gallery of Modern Art, Sanskriti Museums, Nehru Planetarium, Gandhi Smriti Museum, Victoria Memorial, Birla Planetarium, Indian Museum, Eco Park, Millennium Park, Elliot's Beach, Marina Beach, VGP Golden Beach, Arignar Anna Zoological Park, Guindy National Park, Indira Gandhi Musical Fountain Park, Lalbagh Botanical Garden, Cubbon Park, Bannerghatta Biological Park, Wonderla Amusement Park, Forum Mall, Phoenix Marketcity, High Street Phoenix, Café Mondegar, Leopold Cafe, Hard Rock Cafe, Mocha Art House, The Tea Room, The Drawing Room Café. ","['City Palace', 'Hawa Mahal', 'Jal Mahal', 'Rambagh Palace', 'Amer Fort', 'Umaid Bhawan Palace', 'City Park', 'Lodi Garden', 'Nehru Park', 'Shalimar Bagh', 'Charbagh Park', 'Buddha Garden', 'Lodhi Art District', 'Khan Market', 'Connaught Place', 'DLF Emporio', 'Sarojini Nagar Market', 'Chandni Chowk', 'Gole Market', 'Mehrauli Archaeological Park', 'Cyber Hub', 'National Gallery of Modern Art', 'Sanskriti Museums', 'Nehru Planetarium', 'Gandhi Smriti Museum', 'Victoria Memorial', 'Birla Planetarium', 'Indian Museum', 'Eco Park', 'Millennium Park', ""Elliot's Beach"", 'Marina Beach', 'VGP Golden Beach', 'Arignar Anna Zoological Park', 'Guindy National Park', 'Indira Gandhi Musical Fountain Park', 'Lalbagh Botanical Garden', 'Cubbon Park', 'Bannerghatta Biological Park', 'Wonderla Amusement Park', 'Forum Mall', 'Phoenix Marketcity', 'High Street Phoenix', 'Café Mondegar', 'Leopold Cafe', 'Hard Rock Cafe', 'Mocha Art House', 'The Tea Room', 'The Drawing Room Café']",,
2,"Lodi Art District, Lal Bagh Botanical Garden, Chowmahalla Palace, Nehru Zoological Park, Indira Gandhi Musical Fountain Park, St. Thomas Mount National Shrine, Raj Niwas Palace, Sambhaji Park, Deer Park, Kadri Manjunath Temple, Victoria Memorial Hall, Amer Fort, Ram Bagh Palace, Alipore Zoological Gardens, Gandhi Smriti, Shilpgram, Kalakriti Art Gallery, Sheroes Hangout, Bara Imambara, Nalban Boating Complex, Rambagh Palace Hotel, Mysore Palace, Rani Ki Vav, Mughal Gardens, Golconda Fort, Qutub Minar, Amber Palace, Marine Drive, Rose Garden, Venna Lake, Town Hall, St. John's Church, Nek Chand's Rock Garden, Umaid Bhawan Palace, Lumbini Park, Rashtrapati Bhavan, Brindavan Gardens, Yercaud Lake, Khardung La Pass, Jehangir Art Gallery, Agra Fort, Taj Mahal Palace Hotel, Marine Drive, Kamla Nehru Park, Deer Park, Nehru Planetarium, City Palace Museum, Birla Mandir, Charminar, Ram Niwas Garden

 ","['Lodi Art District', 'Lal Bagh Botanical Garden', 'Chowmahalla Palace', 'Nehru Zoological Park', 'Indira Gandhi Musical Fountain Park', 'St. Thomas Mount National Shrine', 'Raj Niwas Palace', 'Sambhaji Park', 'Deer Park', 'Kadri Manjunath Temple', 'Victoria Memorial Hall', 'Amer Fort', 'Ram Bagh Palace', 'Alipore Zoological Gardens', 'Gandhi Smriti', 'Shilpgram', 'Kalakriti Art Gallery', 'Sheroes Hangout', 'Bara Imambara', 'Nalban Boating Complex', 'Rambagh Palace Hotel', 'Mysore Palace', 'Rani Ki Vav', 'Mughal Gardens', 'Golconda Fort', 'Qutub Minar', 'Amber Palace', 'Marine Drive', 'Rose Garden', 'Venna Lake', 'Town Hall', ""St. John's Church"", ""Nek Chand's Rock Garden"", 'Umaid Bhawan Palace', 'Lumbini Park', 'Rashtrapati Bhavan', 'Brindavan Gardens', 'Yercaud Lake', 'Khardung La Pass', 'Jehangir Art Gallery', 'Agra Fort', 'Taj Mahal Palace Hotel', 'Marine Drive', 'Kamla Nehru Park', 'Deer Park', 'Nehru Planetarium', 'City Palace Museum', 'Birla Mandir', 'Charminar', 'Ram Niwas Garden']",,
3,"Jal Mahal Palace, Central Park, Lodi Garden, Raj Ghat Park, Rose Garden, Victoria Memorial, Lotus Temple, Birla Mandir Temple, Charminar Tower, Qutub Minar Tower, Jantar Mantar Observatory, City Palace, Amber Fort Palace, Umaid Bhawan Palace, Hawa Mahal Palace, Mysore Palace, Udaipur City Palace, Lalgarh Palace, Falaknuma Palace, Bangla Sahib Gurudwara, Golden Temple, ISKCON Temple, Shirdi Sai Baba Temple, Shani Shingnapur Temple, Kamakhya Temple, Vaishno Devi Temple, Mahabodhi Temple, Konark Sun Temple, Meenakshi Temple, Badrinath Temple, Dwarkadhish Temple, Sabarmati Ashram, Mani Bhavan Gandhi Museum, Nehru Memorial Museum, Nehru Planetarium, Gandhi Smriti Museum, Rashtrapati Bhavan, India Gate, Gateway of India, Hawa Mahal Street, Linking Road Street, Brigade Road Street, Chor Bazaar Street, Gariahat Market, Connaught Place Market, Chandni Chowk Market, Janpath Market, Colaba Causeway Market, Hard Rock Cafe, Barista Cafe, Cafe Coffee Day, Starbucks Cafe","['Jal Mahal Palace', 'Central Park', 'Lodi Garden', 'Raj Ghat Park', 'Rose Garden', 'Victoria Memorial', 'Lotus Temple', 'Birla Mandir Temple', 'Charminar Tower', 'Qutub Minar Tower', 'Jantar Mantar Observatory', 'City Palace', 'Amber Fort Palace', 'Umaid Bhawan Palace', 'Hawa Mahal Palace', 'Mysore Palace', 'Udaipur City Palace', 'Lalgarh Palace', 'Falaknuma Palace', 'Bangla Sahib Gurudwara', 'Golden Temple', 'ISKCON Temple', 'Shirdi Sai Baba Temple', 'Shani Shingnapur Temple', 'Kamakhya Temple', 'Vaishno Devi Temple', 'Mahabodhi Temple', 'Konark Sun Temple', 'Meenakshi Temple', 'Badrinath Temple', 'Dwarkadhish Temple', 'Sabarmati Ashram', 'Mani Bhavan Gandhi Museum', 'Nehru Memorial Museum', 'Nehru Planetarium', 'Gandhi Smriti Museum', 'Rashtrapati Bhavan', 'India Gate', 'Gateway of India', 'Hawa Mahal Street', 'Linking Road Street', 'Brigade Road Street', 'Chor Bazaar Street', 'Gariahat Market', 'Connaught Place Market', 'Chandni Chowk Market', 'Janpath Market', 'Colaba Causeway Market', 'Hard Rock Cafe', 'Barista Cafe', 'Cafe Coffee Day', 'Starbucks Cafe']",,
4,"Jantar Mantar Observatory, City Palace Jaipur, Lodi Gardens, India Gate, Rashtrapati Bhavan, Kingdom of Dreams, Nehru Park, Pragati Maidan, Qutub Minar, Humayun's Tomb, Taj Mahal, Lotus Temple, Jama Masjid, Red Fort, Chandni Chowk, Hauz Khas Village, Cyber Hub, Connaught Place, The Lodhi Art District, The Hungry Monkey Cafe, Sarafa Bazaar, Mahakal Temple, Gateway of India, Elephanta Caves, Marine Drive, Chhatrapati Shivaji Terminus, Crawford Market, Bandra Bandstand, Hanging Gardens, Powai Lake, Chor Bazaar, Nehru Science Centre, Marine Lines, Gateway of Dreams, Infinity Mall, Phoenix Market City, Mani Bhavan Gandhi Museum, Taj Hotel Palace, Gateway Hotel, Strand Road, Main Street, Cafe Mondegar, The Table, The Bombay Canteen, Le 15 Patisserie, The Pantry, Theobroma, The Tasting Room","['Jantar Mantar Observatory', 'City Palace Jaipur', 'Lodi Gardens', 'India Gate', 'Rashtrapati Bhavan', 'Kingdom of Dreams', 'Nehru Park', 'Pragati Maidan', 'Qutub Minar', ""Humayun's Tomb"", 'Taj Mahal', 'Lotus Temple', 'Jama Masjid', 'Red Fort', 'Chandni Chowk', 'Hauz Khas Village', 'Cyber Hub', 'Connaught Place', 'The Lodhi Art District', 'The Hungry Monkey Cafe', 'Sarafa Bazaar', 'Mahakal Temple', 'Gateway of India', 'Elephanta Caves', 'Marine Drive', 'Chhatrapati Shivaji Terminus', 'Crawford Market', 'Bandra Bandstand', 'Hanging Gardens', 'Powai Lake', 'Chor Bazaar', 'Nehru Science Centre', 'Marine Lines', 'Gateway of Dreams', 'Infinity Mall', 'Phoenix Market City', 'Mani Bhavan Gandhi Museum', 'Taj Hotel Palace', 'Gateway Hotel', 'Strand Road', 'Main Street', 'Cafe Mondegar', 'The Table', 'The Bombay Canteen', 'Le 15 Patisserie', 'The Pantry', 'Theobroma', 'The Tasting Room']",,
5,"Rashtrapati Bhavan, Lodhi Art District, City Palace, Lotus Temple, Taj Mahal Palace Hotel, Nehru Planetarium, Qutub Minar, Cyber Hub, Humayun's Tomb, Hawa Mahal, Marine Drive, Victoria Memorial, India Gate, Chowmahalla Palace, Cubbon Park, National Museum, Bangla Sahib Gurudwara, Laxmi Vilas Palace, Malabar Hill, Mughal Garden, Jantar Mantar, Kamala Nehru Park, Bandra Bandstand, Umaid Bhawan Palace, DLF Cyber City, Rambagh Palace, Shalimar Bagh, Nehru Park, Prince of Wales Museum, Rajpath, Charminar, Jama Masjid, Palace Grounds, Sunder Nursery, Lalbagh Botanical Garden, Chhatrapati Shivaji Terminus, Pataudi Palace, Connaught Place, Sabarmati Ashram, Green Park, Gateway of India, Marine Lines, Fort Kochi Beach, Rang Mahal, Roshanara Garden, Taj Palace Hotel, Red Fort, Vashi Street Food Market

 ","['Rashtrapati Bhavan', 'Lodhi Art District', 'City Palace', 'Lotus Temple', 'Taj Mahal Palace Hotel', 'Nehru Planetarium', 'Qutub Minar', 'Cyber Hub', 'Humayun""s Tomb', 'Hawa Mahal', 'Marine Drive', 'Victoria Memorial', 'India Gate', 'Chowmahalla Palace', 'Cubbon Park', 'National Museum', 'Bangla Sahib Gurudwara', 'Laxmi Vilas Palace', 'Malabar Hill', 'Mughal Garden', 'Jantar Mantar', 'Kamala Nehru Park', 'Bandra Bandstand', 'Umaid Bhawan Palace', 'DLF Cyber City', 'Rambagh Palace', 'Shalimar Bagh', 'Nehru Park', 'Prince of Wales Museum', 'Rajpath', 'Charminar', 'Jama Masjid', 'Palace Grounds', 'Sunder Nursery', 'Lalbagh Botanical Garden', 'Chhatrapati Shivaji Terminus', 'Pataudi Palace', 'Connaught Place', 'Sabarmati Ashram', 'Green Park', 'Gateway of India', 'Marine Lines', 'Fort Kochi Beach', 'Rang Mahal', 'Roshanara Garden', 'Taj Palace Hotel', 'Red Fort', 'Vashi Street Food Market']",,
6,"Hawa Mahal Palace, Amber Palace, City Palace, Victoria Memorial Hall, Nehru Park, Cubbon Park, Lodhi Art District, Lodhi Garden, Mughal Garden, Rock Garden, Shalimar Bagh, Garden of Five Senses, Rani Ki Vav, Golconda Fort, Qutub Shahi Tombs, Humayun's Tomb, Taj Mahal, Rashtrapati Bhavan, Lotus Temple, India Gate, Gateway of India, Marine Drive, M.G. Road, Brigade Road, Commercial Street, Church Street, Hauz Khas Village, Connaught Place, Cyber Hub, The Coffee House ","['Hawa Mahal Palace', 'Amber Palace', 'City Palace', 'Victoria Memorial Hall', 'Nehru Park', 'Cubbon Park', 'Lodhi Art District', 'Lodhi Garden', 'Mughal Garden', 'Rock Garden', 'Shalimar Bagh', 'Garden of Five Senses', 'Rani Ki Vav', 'Golconda Fort', 'Qutub Shahi Tombs', ""Humayun's Tomb"", 'Taj Mahal', 'Rashtrapati Bhavan', 'Lotus Temple', 'India Gate', 'Gateway of India', 'Marine Drive', 'M.G. Road', 'Brigade Road', 'Commercial Street', 'Church Street', 'Hauz Khas Village', 'Connaught Place', 'Cyber Hub', 'The Coffee House']",,
7,"Buckingham Palace, London
Central Park, New York City
Vondelpark, Amsterdam
Versailles Palace, Paris
Brandenburg Gate, Berlin
Forbidden City, Beijing
Kirstenbosch Botanical Garden, Cape Town
Palace of Fine Arts, San Francisco
Namsan Tower, Seoul
Trevi Fountain, Rome
Red Square, Moscow
Victoria Peak, Hong Kong
The High Line, New York City
The Louvre, Paris
The Bund, Shanghai
The Grand Palace, Bangkok
The Palace of Westminster, London
Gardens by the Bay, Singapore
The Dubai Mall, Dubai
The Blue Mosque, Istanbul
The Burj Khalifa, Dubai
The Pantheon, Rome
The Alhambra, Granada
The Piazza del Campo, Siena
The Champs-Elysees, Paris
The Acropolis, Athens
The Sagrada Familia, Barcelona
The Tower of London, London
The National Palace Museum, Taipei
The Cathedral of Santa Maria del Fiore, Florence
 ","['Buckingham Palace', 'Central Park', 'Vondelpark', 'Versailles Palace', 'Brandenburg Gate', 'Forbidden City', 'Kirstenbosch Botanical Garden', 'Palace of Fine Arts', 'Namsan Tower', 'Trevi Fountain', 'Red Square', 'Victoria Peak', 'The High Line', 'The L...hamps-Elysees', 'The Acropolis', 'The Sagrada Familia', 'The Tower of London', 'The National Palace Museum', 'The Cathedral of Santa Maria del Fiore']",,
0,"Gateway of India, Marine Drive, Juhu Beach, Siddhivinayak Temple, Haji Ali Dargah, Elephanta Caves, Chhatrapati Shivaji Terminus, Bandra-Worli Sea Link, Colaba Causeway, Chor Bazaar, Mount Mary Church, Sanjay Gandhi National Park, Nariman Point, Crawford Market, Rajabai Clock Tower, EsselWorld, Nehru Planetarium, Jehangir Art Gallery, Worli Fort, Kamala Nehru Park, Global Vipassana Pagoda, Powai Lake, Mumba Devi Temple, Dr. Bhau Daji Lad Museum, Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Mani Bhavan Gandhi Museum, Jijamata Udyaan, Veermata Jijabai Bhosale Udyan, Prithvi Theatre. ","['Gateway of India', 'Marine Drive', 'Juhu Beach', 'Siddhivinayak Temple', 'Haji Ali Dargah', 'Elephanta Caves', 'Chhatrapati Shivaji Terminus', 'Bandra-Worli Sea Link', 'Colaba Causeway', 'Chor Bazaar', 'Mount Mary Church', 'Sanjay Gandhi National Park', 'Nariman Point', 'Crawford Market', 'Rajabai Clock Tower', 'EsselWorld', 'Nehru Planetarium', 'Jehangir Art Gallery', 'Worli Fort', 'Kamala Nehru Park', 'Global Vipassana Pagoda', 'Powai Lake', 'Mumba Devi Temple', 'Dr. Bhau Daji Lad Museum', 'Chhatrapati Shivaji Maharaj Vastu Sangrahalaya', 'Mani Bhavan Gandhi Museum', 'Jijamata Udyaan', 'Veermata Jijabai Bhosale Udyan', 'Prithvi Theatre']",0.0,0.0
1,"India Gate, Red Fort, Qutub Minar, Lotus Temple, Jama Masjid, Humayun's Tomb, Akshardham Temple, Chandni Chowk, Raj Ghat, Gurudwara Bangla Sahib, National Museum, Nehru Planetarium, Jantar Mantar, Rashtrapati Bhavan, Parliament House, ISKCON Temple, Laxminarayan Temple, Dilli Haat, Connaught Place, Hauz Khas Village, Khan Market, Sarojini Nagar Market, Lajpat Nagar Market, Janpath Market, Karim's, Pandara Road, Pragati Maidan, DLF Emporio, Select Citywalk, Ambience Mall.","['India Gate', 'Red Fort', 'Qutub Minar', 'Lotus Temple', 'Jama Masjid', ""Humayun's Tomb"", 'Akshardham Temple', 'Chandni Chowk', 'Raj Ghat', 'Gurudwara Bangla Sahib', 'National Museum', 'Nehru Planetarium', 'Jantar Mantar', 'Rashtrapati Bhavan', 'Parliament House', 'ISKCON Temple', 'Laxminarayan Temple', 'Dilli Haat', 'Connaught Place', 'Hauz Khas Village', 'Khan Market', 'Sarojini Nagar Market', 'Lajpat Nagar Market', 'Janpath Market', ""Karim's"", 'Pandara Road', 'Pragati Maidan', 'DLF Emporio', 'Select Citywalk', 'Ambience Mall']",1.0,1.0
